date,station,location,subdistrict,district,province,time,gwater_mean,gwater_min,gwater_max,smoisture_mean,smoisture_min,smoisture_max,precip_composite,precip_min,precip_max,status
2019-02-04,BRG_150613_01,SUNGAI_RAMBAI,SENYERANG,TANJUNG_JABUNG_BARAT,JAMBI,00:00:07,-0.72,-0.73,-0.72,31.4,31.4,31.4,0,0,0,BAHAYA
2019-02-04,BRG_150613_01,SUNGAI_RAMBAI,SENYERANG,TANJUNG_JABUNG_BARAT,JAMBI,01:00:03,-0.72,-0.72,-0.71,31.35,31.1,31.4,0,0,0,BAHAYA
2019-02-04,BRG_150613_01,SUNGAI_RAMBAI,SENYERANG,TANJUNG_JABUNG_BARAT,JAMBI,02:00:06,-0.71,-0.72,-0.71,31.2,31.1,31.4,0,0,0,BAHAYA
2019-02-04,BRG_150613_01,SUNGAI_RAMBAI,SENYERANG,TANJUNG_JABUNG_BARAT,JAMBI,03:00:07,-0.71,-0.71,-0.71,31.1,31.1,31.1,0,0,0,BAHAYA
2019-02-04,BRG_150613_01,SUNGAI_RAMBAI,SENYERANG,TANJUNG_JABUNG_BARAT,JAMBI,04:00:01,-0.72,-0.72,-0.71,31.1,31.1,31.1,0,0,0,BAHAYA
2019-02-04,BRG_150613_01,SUNGAI_RAMBAI,SENYERANG,TANJUNG_JABUNG_BARAT,JAMBI,05:00:03,-0.72,-0.72,-0.71,31.1,31.1,31.1,0,0,0,BAHAYA
2019-02-04,BRG_150613_01,SUNGAI_RAMBAI,SENYERANG,TANJUNG_JABUNG_BARAT,JAMBI,06:00:07,-0.72,-0.72,-0.72,31.1,31.1,31.1,0,0,0,BAHAYA
2019-02-04,BRG_150613_01,SUNGAI_RAMBAI,SENYERANG,TANJUNG_JABUNG_BARAT,JAMBI,07:00:03,-0.73,-0.73,-0.72,31.05,30.8,31.1,0,0,0,BAHAYA
2019-02-04,BRG_150613_01,SUNGAI_RAMBAI,SENYERANG,TANJUNG_JABUNG_BARAT,JAMBI,08:00:03,-0.73,-0.73,-0.73,31.2,31.2,31.2,0,0,0,BAHAYA
2019-02-19,BRG_150611_01,BRAM_ITAM_KANAN,BRAM_ITAM,TANJUNG_JABUNG_BARAT,JAMBI,00:00:00,-0.96,-0.97,-0.96,31.6,31.6,31.6,0,0,0,BAHAYA
2019-02-19,BRG_150611_01,BRAM_ITAM_KANAN,BRAM_ITAM,TANJUNG_JABUNG_BARAT,JAMBI,01:00:03,-0.96,-0.97,-0.96,31.6,31.6,31.6,0,0,0,BAHAYA
2019-02-19,BRG_150611_01,BRAM_ITAM_KANAN,BRAM_ITAM,TANJUNG_JABUNG_BARAT,JAMBI,02:00:04,-0.96,-0.97,-0.96,31.6,31.6,31.6,0,0,0,BAHAYA
2019-02-19,BRG_150611_01,BRAM_ITAM_KANAN,BRAM_ITAM,TANJUNG_JABUNG_BARAT,JAMBI,03:00:05,-0.96,-0.97,-0.96,31.5,31.3,31.6,0,0,0,BAHAYA
2019-02-19,BRG_150611_01,BRAM_ITAM_KANAN,BRAM_ITAM,TANJUNG_JABUNG_BARAT,JAMBI,04:00:01,-0.96,-0.97,-0.96,31.45,31.3,31.6,0,0,0,BAHAYA
2019-02-19,BRG_150611_01,BRAM_ITAM_KANAN,BRAM_ITAM,TANJUNG_JABUNG_BARAT,JAMBI,05:00:05,-0.97,-0.97,-0.97,31.6,31.6,31.6,0,0,0,BAHAYA
2019-02-19,BRG_150611_01,BRAM_ITAM_KANAN,BRAM_ITAM,TANJUNG_JABUNG_BARAT,JAMBI,06:00:05,-0.96,-0.97,-0.96,31.6,31.6,31.6,0,0,0,BAHAYA
2019-02-19,BRG_150611_01,BRAM_ITAM_KANAN,BRAM_ITAM,TANJUNG_JABUNG_BARAT,JAMBI,07:00:00,-0.96,-0.97,-0.96,31.5,31.3,31.6,0,0,0,BAHAYA
2019-02-19,BRG_150611_01,BRAM_ITAM_KANAN,BRAM_ITAM,TANJUNG_JABUNG_BARAT,JAMBI,08:00:05,-0.97,-0.97,-0.97,31.35,31.3,31.6,0,0,0,BAHAYA
2019-02-19,BRG_150611_01,BRAM_ITAM_KANAN,BRAM_ITAM,TANJUNG_JABUNG_BARAT,JAMBI,09:00:04,-0.97,-0.97,-0.97,34.3,31.3,37.3,0,0,0,BAHAYA
2019-02-19,BRG_150611_01,BRAM_ITAM_KANAN,BRAM_ITAM,TANJUNG_JABUNG_BARAT,JAMBI,10:00:04,-0.97,-0.97,-0.97,37.16,36.9,37.5,0,0,0,BAHAYA
2019-02-19,BRG_150611_01,BRAM_ITAM_KANAN,BRAM_ITAM,TANJUNG_JABUNG_BARAT,JAMBI,11:40:01,-0.97,-0.97,-0.97,35.45,35.4,35.5,0,0,0,BAHAYA
2019-02-19,BRG_150611_01,BRAM_ITAM_KANAN,BRAM_ITAM,TANJUNG_JABUNG_BARAT,JAMBI,12:00:00,-0.97,-0.97,-0.97,34.85,34.4,35.4,0,0,0,BAHAYA
2019-02-19,BRG_150611_01,BRAM_ITAM_KANAN,BRAM_ITAM,TANJUNG_JABUNG_BARAT,JAMBI,13:00:00,-0.97,-0.97,-0.97,34.07,33.8,34.4,0,0,0,BAHAYA
2019-02-19,BRG_150611_01,BRAM_ITAM_KANAN,BRAM_ITAM,TANJUNG_JABUNG_BARAT,JAMBI,14:00:00,-0.97,-0.97,-0.96,33.95,33.2,36.2,0,0,0,BAHAYA
